District,Season,Crop,Area (ha),Production (tonnes),Yield,Yield Unit,Source
Kasur,2023-24,bajra,2663.0,4536.0,1.7033,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Kasur,2024-25,bajra,4885.0,7036.0,1.4403,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khanewal,2017-18,bajra,3200.0,3900.0,1.2188,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khanewal,2018-19,bajra,3300.0,3600.0,1.0909,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khanewal,2019-20,bajra,3000.0,3300.0,1.1,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khanewal,2020-21,bajra,998.0,1233.0,1.2355,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khanewal,2022-23,bajra,207.0,253.0,1.2222,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khushab,2017-18,bajra,12300.0,9400.0,0.7642,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khushab,2018-19,bajra,12100.0,9300.0,0.7686,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khushab,2019-20,bajra,12220.0,9600.0,0.7856,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khushab,2020-21,bajra,4954.0,4060.0,0.8195,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khushab,2021-22,bajra,1899.0,1508.0,0.7941,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khushab,2022-23,bajra,1935.0,1793.0,0.9266,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khushab,2023-24,bajra,2631.0,2470.0,0.9388,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Khushab,2024-25,bajra,2428.0,3175.0,1.3077,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lahore,2018-19,bajra,100.0,100.0,1.0,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lahore,2019-20,bajra,80.0,100.0,1.25,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lahore,2020-21,bajra,32.0,36.0,1.125,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lahore,2022-23,bajra,10.0,19.0,1.9,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Layyah,2017-18,bajra,40400.0,31700.0,0.7847,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Layyah,2018-19,bajra,42700.0,37400.0,0.8759,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Layyah,2019-20,bajra,43160.0,33800.0,0.7831,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
